,Location,acq_date,count,latitude,longitude,brightness,bright_t31,confidence
0,Adelaide,12/05/2015,1,-35.1873,138.6786,313.7,281.8,74.0
1,Adelaide,15/03/2015,1,-35.0109,138.5761,316.1,297.9,58.0
2,Adelaide,15/04/2015,1,-34.6313,138.8095,353.0,302.6,96.0
3,Adelaide,2/01/2015,1,-34.7548,138.7946,410.6,328.2,100.0
4,Adelaide,22/04/2015,1,-35.0766,138.7239,301.4,286.2,37.0
5,Adelaide,24/10/2016,2,-34.99445,138.64839999999998,309.0,295.04999999999995,58.5
6,Adelaide,25/05/2015,1,-35.1872,138.5873,301.4,288.5,47.0
7,Adelaide,28/11/2017,1,-35.1795,138.5089,332.6,315.5,61.0
8,Adelaide,29/05/2015,1,-34.7356,138.5723,300.9,287.8,0.0
9,Adelaide,3/01/2015,1,-34.8616,138.8087,334.4,303.0,82.0
10,Adelaide,31/03/2015,3,-34.699733333333334,138.59043333333332,328.90000000000003,305.9666666666667,71.33333333333333
11,Adelaide,5/04/2017,1,-34.5902,138.674,323.0,299.5,76.0
12,Adelaide,9/05/2017,2,-35.123549999999994,138.76069999999999,303.4,287.85,55.5
13,Albany,10/05/2016,1,-34.9556,117.7913,317.9,288.3,78.0
14,Albany,12/05/2016,1,-34.9934,117.9268,303.7,292.8,0.0
15,Albany,13/05/2015,1,-34.9634,118.0341,326.3,290.6,79.0
16,Albany,16/07/2015,1,-34.9371,117.9964,308.2,284.1,58.0
17,Albany,16/11/2015,1,-35.1028,117.9533,390.0,300.7,100.0
18,Albany,21/04/2016,1,-34.9433,117.8031,305.7,292.3,62.0
19,Albany,8/09/2015,1,-35.0978,117.9271,328.6,298.4,77.0
20,Albury,10/05/2017,1,-36.1632,146.9966,304.3,291.6,59.0
21,Albury,12/01/2016,1,-36.2263,146.8307,339.3,311.2,83.0
22,Albury,15/03/2015,2,-36.0253,146.95265,317.75,305.85,67.5
23,Albury,16/11/2015,1,-36.0849,146.9215,315.8,302.3,52.0
24,Albury,25/04/2016,1,-36.0104,146.7601,316.5,303.3,71.0
25,Albury,30/03/2015,2,-35.93745,147.01665,322.25,306.1,66.0
26,Albury,6/05/2016,1,-36.2213,147.0626,313.9,291.5,53.0
27,Ballarat,10/04/2015,1,-37.4506,143.7828,312.3,301.0,65.0
28,Ballarat,25/04/2016,1,-37.6709,143.7438,301.8,283.9,44.0
29,Ballarat,26/04/2016,1,-37.4763,143.9724,308.5,298.3,55.0
30,Ballarat,26/10/2015,1,-37.5515,143.7811,306.0,293.4,60.0
31,Ballarat,30/03/2015,1,-37.4987,143.8961,311.3,290.2,61.0
32,Ballarat,30/05/2016,1,-37.5774,144.0049,301.9,285.4,50.0
33,Ballarat,31/03/2015,1,-37.4972,143.7022,312.4,296.3,0.0
34,Bendigo,1/10/2015,2,-36.84765,144.23225,323.85,302.5,60.0
35,Bendigo,14/09/2015,2,-36.8444,144.3422,309.65,297.45,66.5
36,Bendigo,27/10/2017,1,-36.7481,144.1683,317.2,300.5,62.0
37,Bendigo,31/08/2015,1,-36.6335,144.3396,302.8,288.2,54.0
38,Brisbane,10/08/2016,1,-27.5144,153.0786,311.0,295.4,55.0
39,Brisbane,14/08/2015,1,-27.4891,152.9629,303.7,291.0,34.0
40,Brisbane,18/11/2015,1,-27.6154,153.1186,321.0,303.5,25.0
41,Brisbane,24/09/2015,1,-27.5841,152.9559,311.5,297.9,25.0
42,Brisbane,29/05/2015,1,-27.3286,152.9485,307.1,292.3,60.0
43,Brisbane,3/11/2016,1,-27.6009,153.1534,310.8,286.8,27.0
44,Brisbane,5/06/2015,1,-27.4132,152.8874,320.7,290.8,80.0
45,Brisbane,6/02/2016,1,-27.4241,152.9816,311.2,293.3,17.0
46,Brisbane,8/08/2015,1,-27.4526,152.8885,307.1,291.3,55.0
47,Brisbane,9/01/2015,2,-27.339550000000003,153.0188,321.65,301.8,43.5
48,Cairns,15/11/2015,1,-16.9155,145.8743,318.0,289.0,38.0
49,Cairns,3/09/2015,1,-16.9307,145.7951,335.6,298.2,0.0
50,Canberra,11/12/2015,1,-35.2161,148.9853,347.0,282.7,93.0
51,Canberra,20/04/2017,1,-35.3985,149.1432,304.3,293.7,58.0
52,Canberra,28/04/2016,1,-35.3232,149.2053,311.9,297.8,72.0
53,Canberra,4/11/2017,1,-35.1945,149.1287,323.2,309.0,73.0
54,Canberra,5/05/2016,2,-35.3193,149.04534999999998,304.05,293.2,57.5
