,latitude,longitude,brightness,acq_date,confidence,bright_t31,type,Location,latlong
0,-15.8931,136.6094,324.4,1/01/2015,28,302.3,0,test,"-15.9, 136.6"
29,-31.9887,115.9483,326.2,1/01/2015,58,307.0,2,Perth,"-32.0, 115.9"
30,-32.0663,115.9202,325.5,1/01/2015,45,307.7,2,Perth,"-32.1, 115.9"
31,-31.8603,115.9087,324.5,1/01/2015,49,307.4,2,Perth,"-31.9, 115.9"
32,-31.7952,115.8318,324.1,1/01/2015,35,307.7,2,Perth,"-31.8, 115.8"
52,-20.5424,143.615,330.8,1/01/2015,28,304.0,0,Richmond,"-20.5, 143.6"
123,-33.7745,150.9525,322.5,2/01/2015,73,302.4,2,Sydney,"-33.8, 151.0"
172,-34.7548,138.7946,410.6,2/01/2015,100,328.2,0,Adelaide,"-34.8, 138.8"
300,-34.8616,138.8087,334.4,3/01/2015,82,303.0,0,Adelaide,"-34.9, 138.8"
419,-31.8656,115.8055,319.6,3/01/2015,20,302.3,2,Perth,"-31.9, 115.8"
422,-33.8218,150.7899,325.3,3/01/2015,34,306.6,0,Sydney,"-33.8, 150.8"
623,-32.8259,151.7227,321.4,4/01/2015,0,306.5,2,Newcastle,"-32.8, 151.7"
624,-34.4583,150.8844,326.8,4/01/2015,60,304.2,2,Wollongong,"-34.5, 150.9"
685,-37.8118,144.8233,320.3,4/01/2015,42,304.1,2,Melbourne,"-37.8, 144.8"
687,-37.9528,145.0699,319.9,4/01/2015,40,305.0,2,Melbourne,"-38.0, 145.1"
1902,-33.949,151.2099,303.4,7/01/2015,55,291.8,2,Sydney,"-33.9, 151.2"
2231,-27.3658,153.0588,321.7,9/01/2015,42,302.3,2,Brisbane,"-27.4, 153.1"
2232,-27.3133,152.9788,321.6,9/01/2015,45,301.3,2,Brisbane,"-27.3, 153.0"
2383,-32.0372,115.9997,318.3,10/01/2015,28,303.6,2,Perth,"-32.0, 116.0"
2808,-37.9455,145.075,314.7,16/01/2015,49,299.0,2,Melbourne,"-37.9, 145.1"
2843,-29.0329,149.5063,305.8,16/01/2015,66,292.0,0,Moree,"-29.0, 149.5"
2938,-29.3667,149.5169,336.9,18/01/2015,77,319.1,0,Moree,"-29.4, 149.5"
2947,-32.8099,151.6348,315.8,18/01/2015,40,299.6,0,Newcastle,"-32.8, 151.6"
2949,-33.7541,150.9043,321.9,18/01/2015,68,307.3,2,Sydney,"-33.8, 150.9"
2952,-33.9407,150.9325,324.0,18/01/2015,56,309.3,2,Sydney,"-33.9, 150.9"
2954,-34.0395,150.7611,321.0,18/01/2015,53,307.7,2,Sydney,"-34.0, 150.8"
3064,-29.5871,149.5527,306.8,19/01/2015,69,295.9,0,Moree,"-29.6, 149.6"
3329,-31.6955,145.9237,333.2,22/01/2015,32,308.8,0,Cobar,"-31.7, 145.9"
5223,-33.9408,151.0009,314.5,3/02/2015,25,299.5,2,Sydney,"-33.9, 151.0"
7024,-29.2085,149.5305,319.7,6/02/2015,99,294.6,0,Moree,"-29.2, 149.5"
8267,-29.2242,150.1917,306.5,11/02/2015,68,292.9,0,Moree,"-29.2, 150.2"
8485,-29.1713,149.6264,331.7,13/02/2015,52,307.2,0,Moree,"-29.2, 149.6"
9592,-34.9131,147.4424,344.7,23/02/2015,82,312.2,0,WaggaWagga,"-34.9, 147.4"
9599,-35.2443,147.0311,336.9,23/02/2015,80,317.2,0,WaggaWagga,"-35.2, 147.0"
9917,-35.0953,146.8557,328.7,26/02/2015,70,310.7,0,WaggaWagga,"-35.1, 146.9"
