,latitude,longitude,latlong,city
0,-15.8931,136.6094,"-16.0, 137.0",Northern Territory
1,-14.9764,145.2801,"-15.0, 145.0",Cook Shire
2,-18.5115,139.5995,"-19.0, 140.0",Cloncurry Shire
3,-17.116,122.2857,"-17.0, 122.0",
4,-18.0797,122.6967,"-18.0, 123.0",Shire Of Broome
6,-19.0015,121.9994,"-19.0, 122.0",Shire Of Broome
7,-21.9935,116.3646,"-22.0, 116.0",Shire Of Ashburton
29,-31.9887,115.9483,"-32.0, 116.0",City Of Kalamunda
36,-28.0157,151.55200000000002,"-28.0, 152.0",Southern Downs Regional
37,-26.078000000000003,151.5792,"-26.0, 152.0",Gympie Regional
42,-22.1762,149.515,"-22.0, 150.0",Livingstone Shire
44,-22.9874,150.0111,"-23.0, 150.0",Livingstone Shire
46,-22.0872,146.7095,"-22.0, 147.0",Isaac Regional
49,-21.2832,148.3476,"-21.0, 148.0",Whitsunday Regional
52,-20.5424,143.615,"-21.0, 144.0",Flinders Shire
53,-18.0968,145.6152,"-18.0, 146.0",Cassowary Coast Regional
54,-16.6407,145.1456,"-17.0, 145.0",Mareeba Shire
55,-16.0555,145.2691,"-16.0, 145.0",Cook Shire
57,-15.6058,144.4234,"-16.0, 144.0",Cook Shire
62,-15.6011,143.2782,"-16.0, 143.0",Cook Shire
63,-14.4906,143.7544,"-14.0, 144.0",Mackay Regional
72,-12.1462,142.6942,"-12.0, 143.0",Cook Shire
74,-30.4718,123.2664,"-30.0, 123.0",Shire Of Menzies
81,-19.194000000000003,126.7846,"-19.0, 127.0",Shire Of Halls Creek
87,-17.7994,145.3948,"-18.0, 145.0",Tablelands Regional
89,-27.5166,150.4988,"-28.0, 150.0",Goondiwindi Regional
93,-30.8646,121.4928,"-31.0, 121.0",Shire Of Coolgardie
119,-26.8332,150.918,"-27.0, 151.0",Western Downs Regional
122,-28.0843,146.0258,"-28.0, 146.0",Paroo Shire
123,-33.7745,150.9525,"-34.0, 151.0",Sydney
124,-30.6652,148.6477,"-31.0, 149.0",Warrumbungle Shire Council
125,-18.5578,124.7285,"-19.0, 125.0",Shire Of Derby-West Kimberley
127,-22.9474,124.8715,"-23.0, 125.0",Shire Of East Pilbara
131,-21.291,127.81299999999999,"-21.0, 128.0",Shire Of Halls Creek
134,-21.8441,120.978,"-22.0, 121.0",Shire Of East Pilbara
137,-19.9106,120.7211,"-20.0, 121.0",Shire Of East Pilbara
147,-26.8622,121.6346,"-27.0, 122.0",Shire Of Laverton
148,-37.3444,142.8103,"-37.0, 143.0",Shire of Northern Grampians
172,-34.7548,138.7946,"-35.0, 139.0",
174,-14.7496,143.6355,"-15.0, 144.0",Cook Shire
175,-14.5188,143.2926,"-15.0, 143.0",Cook Shire
179,-18.6687,127.8941,"-19.0, 128.0",Shire Of Halls Creek
192,-23.326999999999998,115.1604,"-23.0, 115.0",Shire Of Ashburton
196,-24.5796,149.1468,"-25.0, 149.0",Banana Shire
197,-37.6982,140.5656,"-38.0, 141.0",Shire of Glenelg
279,-29.4331,124.4183,"-29.0, 124.0",Shire Of Laverton
280,-29.0503,123.053,"-29.0, 123.0",Shire Of Laverton
295,-23.7702,148.5271,"-24.0, 149.0",Central Highlands Regional
351,-33.677,138.2238,"-34.0, 138.0",Barunga West Council
392,-21.4954,120.3046,"-21.0, 120.0",Shire Of East Pilbara
393,-21.1972,119.4716,"-21.0, 119.0",Shire Of East Pilbara
397,-21.5401,119.6996,"-22.0, 120.0",Shire Of East Pilbara
404,-26.1,122.9192,"-26.0, 123.0",Shire Of Wiluna
413,-29.4692,124.5133,"-29.0, 125.0",Shire Of Laverton
421,-33.3622,115.6757,"-33.0, 116.0",Shire Of Harvey
436,-14.4326,143.3678,"-14.0, 143.0",Cook Shire
443,-30.1273,124.0671,"-30.0, 124.0",Shire Of Menzies
498,-35.5473,148.2562,"-36.0, 148.0",Snowy Valleys Council
507,-30.1819,149.0897,"-30.0, 149.0",
512,-27.5439,148.2761,"-28.0, 148.0",Balonne Shire
514,-28.9112,147.2194,"-29.0, 147.0",
515,-27.7689,148.6013,"-28.0, 149.0",Balonne Shire
522,-13.2539,143.1217,"-13.0, 143.0",Lockhart River Aboriginal Shire
581,-23.2099,119.7446,"-23.0, 120.0",Shire Of East Pilbara
595,-19.5384,121.5037,"-20.0, 122.0",Shire Of East Pilbara
613,-22.7082,119.1893,"-23.0, 119.0",Shire Of East Pilbara
620,-23.8433,151.0486,"-24.0, 151.0",Gladstone
622,-27.6871,153.0733,"-28.0, 153.0",Scenic Rim Regional
623,-32.8259,151.7227,"-33.0, 152.0",
629,-36.4737,141.4341,"-36.0, 141.0",Shire of West Wimmera
631,-20.3787,138.1686,"-20.0, 138.0",Mount Isa City
632,-19.6865,141.1905,"-20.0, 141.0",Mckinlay Shire
671,-22.9999,114.2763,"-23.0, 114.0",Shire Of Carnarvon
674,-36.5369,141.072,"-37.0, 141.0",Shire of West Wimmera
676,-37.0933,142.0758,"-37.0, 142.0",Rural City of Horsham
682,-37.8213,145.2971,"-38.0, 145.0",
716,-34.8336,116.8595,"-35.0, 117.0",Shire Of Denmark
743,-34.3401,116.5653,"-34.0, 117.0",Shire Of Kojonup
837,-30.441,136.859,"-30.0, 137.0",Stuarts Creek
846,-26.2547,149.5562,"-26.0, 150.0",Western Downs Regional
847,-28.8058,149.4341,"-29.0, 149.0",Moree Plains Shire Council
852,-21.6595,117.62200000000001,"-22.0, 118.0",Shire Of Ashburton
908,-22.6603,118.2644,"-23.0, 118.0",Shire Of Ashburton
911,-20.9619,118.1202,"-21.0, 118.0",City Of Karratha
964,-21.1682,117.4451,"-21.0, 117.0",Karratha
986,-23.0705,115.6598,"-23.0, 116.0",Shire Of Ashburton
996,-22.3808,117.01100000000001,"-22.0, 117.0",Shire Of Ashburton
1016,-24.7576,121.87,"-25.0, 122.0",Shire Of Wiluna
1093,-33.2073,116.5297,"-33.0, 117.0",Shire Of Narrogin
1100,-26.3684,149.0716,"-26.0, 149.0",Maranoa Regional
1252,-22.0685,114.7451,"-22.0, 115.0",Shire Of Ashburton
1255,-26.9877,149.485,"-27.0, 149.0",Maranoa Regional
1332,-30.5867,115.9568,"-31.0, 116.0",Shire Of Victoria Plains
1393,-30.3445,115.4354,"-30.0, 115.0",Shire Of Coorow
1484,-22.7087,120.5965,"-23.0, 121.0",Shire Of East Pilbara
1572,-19.4323,121.4109,"-19.0, 121.0",
1590,-21.3337,115.6522,"-21.0, 116.0",City Of Karratha
1733,-23.8401,146.5207,"-24.0, 147.0",Barcaldine Regional
1735,-25.4127,150.2207,"-25.0, 150.0",Banana Shire
1736,-24.9938,145.4932,"-25.0, 145.0",Blackall Tambo Regional
1739,-30.5529,151.9895,"-31.0, 152.0",Walcha Council
1741,-30.2495,151.5252,"-30.0, 152.0",Glen Innes Severn Council
1753,-24.5634,125.9182,"-25.0, 126.0",Shire Of Ngaanyatjarraku
1892,-27.0359,114.3087,"-27.0, 114.0",Shire Of Shark Bay
1907,-29.1424,151.8885,"-29.0, 152.0",Tenterfield Shire Council
1914,-28.6866,150.8128,"-29.0, 151.0",Inverell Shire Council
1926,-28.7888,149.5584,"-29.0, 150.0",Moree Plains Shire Council
1929,-22.9076,148.1665,"-23.0, 148.0",Central Highlands Regional
2040,-32.5767,136.8296,"-33.0, 137.0",
2072,-27.0788,149.7138,"-27.0, 150.0",Western Downs Regional
2074,-37.3025,146.882,"-37.0, 147.0",Alpine Shire
2082,-16.7587,141.4121,"-17.0, 141.0",Carpentaria Shire
2083,-17.5644,144.4025,"-18.0, 144.0",Etheridge Shire
2089,-20.3503,118.335,"-20.0, 118.0",
2107,-25.8825,151.1654,"-26.0, 151.0",Monogorilby
2115,-22.5345,147.30200000000002,"-23.0, 147.0",Isaac Regional
2118,-24.5672,147.2711,"-25.0, 147.0",Blackall Tambo Regional
2121,-20.3553,148.399,"-20.0, 148.0",Whitsunday Regional
2174,-30.191,147.8174,"-30.0, 148.0",
2176,-26.8588,148.1501,"-27.0, 148.0",Dunkeld
2224,-20.186,146.0872,"-20.0, 146.0",Charters Towers Regional
2230,-25.1696,151.4026,"-25.0, 151.0",North Burnett Regional
2231,-27.3658,153.0588,"-27.0, 153.0",Caboolture
2243,-29.8397,153.0854,"-30.0, 153.0",Grafton
2248,-32.8545,146.0296,"-33.0, 146.0",
2262,-19.5432,144.3557,"-20.0, 144.0",Flinders Shire
2269,-33.5411,115.8315,"-34.0, 116.0",Shire Of Bridgetown-Greenbushes
2278,-34.2838,115.4066,"-34.0, 115.0",Shire Of Augusta Margaret River
2330,-24.6293,151.8046,"-25.0, 152.0",Mcilwraith
2333,-17.1044,145.5095,"-17.0, 146.0",
2344,-18.7417,145.5984,"-19.0, 146.0",Townsville City
2398,-25.4931,152.7628,"-25.0, 153.0",Mackay Regional
2407,-21.9711,149.1778,"-22.0, 149.0",Isaac Regional
2435,-23.6723,118.6928,"-24.0, 119.0",Shire Of Meekatharra
2464,-19.7753,147.3831,"-20.0, 147.0",Burdekin Shire
2499,-20.728,139.4771,"-21.0, 139.0",Boulia Shire
2508,-17.9003,138.7068,"-18.0, 139.0",Burke Shire
2509,-20.6987,133.9345,"-21.0, 134.0",Northern Territory
2510,-23.7791,138.8513,"-24.0, 139.0",Diamantina Shire
2513,-38.3188,141.5768,"-38.0, 142.0",Shire of Moyne
2514,-25.8318,136.5593,"-26.0, 137.0",Simpson Desert
2517,-20.3577,133.583,"-20.0, 134.0",Northern Territory
2518,-18.762999999999998,132.9696,"-19.0, 133.0",Northern Territory
2521,-34.6781,118.6161,"-35.0, 119.0",
2530,-23.9791,149.9838,"-24.0, 150.0",Banana Shire
2539,-22.5199,148.5238,"-23.0, 149.0",Isaac Regional
2549,-36.5537,140.1289,"-37.0, 140.0",
2553,-23.9702,114.9336,"-24.0, 115.0",Shire Of Carnarvon
2585,-27.9385,122.8335,"-28.0, 123.0",
2589,-21.77,122.69,"-22.0, 123.0",Shire Of East Pilbara
2591,-22.6252,122.5598,"-23.0, 123.0",Shire Of East Pilbara
2614,-18.742,137.6892,"-19.0, 138.0",
2675,-32.9965,137.5883,"-33.0, 138.0",The District Council of Mount Remarkable
2702,-20.326,118.8876,"-20.0, 119.0",Town Of Port Hedland
