Date,Location,MinTemp,MaxTemp,AvgTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Windspeed,Humidity9am,Humidity3pm,Humidity,Pressure9am,Pressure3pm,Pressure,Temp9am,Temp3pm
1/01/2015,Albury,11.4,33.5,22.45,0,WSW,30,ESE,W,7,11,9,45,14,29.5,1013.5,1011,1012.25,21,32.7
2/01/2015,Albury,15.5,39.6,27.55,0,NE,56,ESE,ESE,9,9,9,45,12,28.5,1016,1012.4,1014.2,25.6,38.2
3/01/2015,Albury,17.1,38.3,27.7,0,NNE,48,NE,N,20,20,20,35,19,27,1017.9,1012.3,1015.1,29.2,37
4/01/2015,Albury,26,33.1,29.55,0,NNE,41,ESE,W,7,7,7,46,37,41.5,1013.6,1012.1,1012.85,27.4,30.9
5/01/2015,Albury,19,35.2,27.1,0,E,33,SSE,SE,7,9,8,60,34,47,1017.4,1014.7,1016.05,25.6,32.5
6/01/2015,Albury,20.5,36.1,28.3,0,NE,39,ESE,SW,9,13,11,54,25,39.5,1019.1,1016,1017.55,27.3,34.6
7/01/2015,Albury,20.3,36.5,28.4,0,NNE,31,SE,NNE,9,19,14,54,29,41.5,1018,1013.3,1015.65,26.4,34.9
8/01/2015,Albury,20.7,34.1,27.4,0,N,44,ENE,SW,13,26,19.5,45,55,50,1012.4,1007.6,1010,28.7,27.8
9/01/2015,Albury,20.4,26.4,23.4,5.4,SSE,30,ESE,S,9,20,14.5,94,65,79.5,1009,1007.4,1008.2,20.8,25.5
10/01/2015,Albury,19.7,21.7,20.7,7,SSE,24,SSE,SSE,7,13,10,97,95,96,1010.9,1010.3,1010.6,20.3,21.4
11/01/2015,Albury,18.4,30.6,24.5,12.6,NE,28,ESE,E,9,11,10,83,49,66,1012.5,1010,1011.25,20.8,28.4
12/01/2015,Albury,17.6,33.1,25.35,0.2,NNE,39,SE,SE,13,7,10,55,33,44,1013.5,1009.3,1011.4,23.6,31.2
13/01/2015,Albury,18.1,27,22.55,0,NNE,39,ENE,NNE,20,13,16.5,47,95,71,1006.7,1000.9,1003.8,24.1,20.5
14/01/2015,Albury,17.9,28.1,23,46.8,WSW,50,WNW,W,15,22,18.5,96,53,74.5,1000.4,1000.2,1000.3,18.3,25.2
15/01/2015,Albury,13.5,28.3,20.9,0.4,WNW,43,WSW,NW,9,20,14.5,69,39,54,1006.4,1004.5,1005.45,18.5,26.8
16/01/2015,Albury,11.4,28.4,19.9,0,NW,41,W,W,7,20,13.5,63,31,47,1010.2,1007.4,1008.8,17.7,26.7
17/01/2015,Albury,15.8,27.6,21.7,0,WNW,48,W,WNW,19,20,19.5,57,35,46,1010,1008.8,1009.4,19.9,25.7
18/01/2015,Albury,12.1,28,20.05,0,WSW,37,SE,WSW,4,11,7.5,56,28,42,1012.8,1011,1011.9,19.1,26.7
19/01/2015,Albury,14.7,28.6,21.65,0,SSE,28,SSE,S,20,9,14.5,45,28,36.5,1013.3,1010.5,1011.9,18.8,27.2
20/01/2015,Albury,14.4,31.1,22.75,0,NW,59,E,NNE,17,19,18,50,34,42,1009.7,1005.5,1007.6,23,29
21/01/2015,Albury,18.1,28.8,23.45,8.4,SE,35,SSE,ESE,6,11,8.5,75,49,62,1009.8,1009.2,1009.5,20.7,26.8
22/01/2015,Albury,17.7,33.7,25.7,0,NE,24,SE,NNE,7,9,8,64,37,50.5,1012.7,1008.2,1010.45,24,31.6
23/01/2015,Albury,20.2,36,28.1,0,SW,63,E,N,13,13,13,56,33,44.5,1007.6,1002.8,1005.2,26.2,34.4
24/01/2015,Albury,20.1,30.8,25.45,15.8,WNW,28,WNW,NNW,0,13,6.5,76,46,61,1005.4,1002.8,1004.1,24.3,29
25/01/2015,Albury,18,26.9,22.45,0.2,NW,46,SSE,W,19,22,20.5,50,31,40.5,1005.6,1005.2,1005.4,21.5,25.9
26/01/2015,Albury,11.5,26,18.75,0,SSE,26,SE,ENE,9,9,9,59,27,43,1012.8,1010.6,1011.7,17.8,24.5
27/01/2015,Albury,15.4,28.9,22.15,0,SE,43,SE,SW,19,9,14,56,42,49,1012.4,1009,1010.7,19.3,27.1
28/01/2015,Albury,16.6,27.5,22.05,0,SSE,50,SE,SE,22,24,23,53,34,43.5,1013.9,1012.2,1013.05,20.7,26.2
29/01/2015,Albury,14,25,19.5,0,SE,46,SSW,ESE,15,15,15,48,31,39.5,1016.2,1012.8,1014.5,17.8,23.9
30/01/2015,Albury,9.2,24,16.6,0,ESE,33,SSW,SSE,9,19,14,49,37,43,1012.8,1009.7,1011.25,16.3,22.5
31/01/2015,Albury,10.5,26.8,18.65,0,WSW,31,SSE,WNW,6,2,4,59,36,47.5,1009.4,1006.9,1008.15,16.4,24.8
1/02/2015,Albury,13.8,28.5,21.15,0,SE,43,SE,S,11,11,11,62,34,48,1009.4,1007.6,1008.5,19.1,27.5
2/02/2015,Albury,16.9,29,22.95,0,SSE,33,ESE,SSE,20,20,20,48,32,40,1015.4,1014.5,1014.95,20.3,27.3
3/02/2015,Albury,13.6,29.8,21.7,0,WSW,33,SSE,W,7,11,9,54,36,45,1020.2,1016.1,1018.15,20.2,28.2
4/02/2015,Albury,15.2,29.5,22.35,0,SE,37,SSE,ESE,19,13,16,42,34,38,1014.4,1012.2,1013.3,20.4,27.3
5/02/2015,Albury,15,31.4,23.2,0,SE,28,ENE,SE,19,11,15,57,33,45,1021.5,1019.9,1020.7,20.4,29.2
6/02/2015,Albury,15.7,33.1,24.4,0,SW,33,NE,WSW,13,13,13,58,35,46.5,1026.1,1022.1,1024.1,22.4,31.2
7/02/2015,Albury,16.9,33.5,25.2,0,WNW,43,E,SSW,13,17,15,53,26,39.5,1023.8,1019.6,1021.7,24.1,32
8/02/2015,Albury,19.6,38.8,29.2,0.2,NW,41,SE,S,4,9,6.5,74,21,47.5,1018.7,1014.9,1016.8,22.3,36.2
9/02/2015,Albury,20.4,36.1,28.25,0,NE,31,ESE,NNW,19,17,18,53,23,38,1019.9,1017.2,1018.55,23.7,34.8
10/02/2015,Albury,18.3,34,26.15,0,ENE,30,SSE,E,6,15,10.5,54,35,44.5,1021.8,1018.7,1020.25,23.9,31.8
11/02/2015,Albury,20.3,35.8,28.05,0,SE,81,SSE,N,9,13,11,62,30,46,1020.5,1016.5,1018.5,25.8,34
12/02/2015,Albury,17.8,31.9,24.85,9.8,E,56,SE,SSE,4,15,9.5,74,37,55.5,1021.4,1018.6,1020,20.9,30.2
13/02/2015,Albury,18.3,32,25.15,0,SE,31,ENE,E,7,6,6.5,69,34,51.5,1022.9,1019.4,1021.15,23.1,30.7
14/02/2015,Albury,19.3,24.7,22,0.2,NNE,31,SE,E,9,9,9,63,96,79.5,1019.6,1018,1018.8,22.4,19.9
15/02/2015,Albury,16.9,30.9,23.9,10.6,SW,24,S,S,11,9,10,86,43,64.5,1016.5,1014.1,1015.3,20.2,29.7
16/02/2015,Albury,19.7,34.9,27.3,0,NNE,41,SE,N,6,9,7.5,73,31,52,1015.4,1012.2,1013.8,22.6,33.5
17/02/2015,Albury,20.5,33.9,27.2,0,NNE,37,SSE,NW,9,20,14.5,66,27,46.5,1014.1,1012.4,1013.25,25.2,32.6
18/02/2015,Albury,19.7,28.2,23.95,0,NE,50,E,SE,9,17,13,76,53,64.5,1018.2,1016.4,1017.3,20.8,26.8
